neighbourhood,price
Bedford-Stuyvesant,90
Bedford-Stuyvesant,120
Astoria,80
Crown Heights,100
Bedford-Stuyvesant,175
Crown Heights,120
Williamsburg,140
Bedford-Stuyvesant,200
Clinton Hill,165
Kips Bay,125
Chelsea,130
East Harlem,65
Fort Greene,123
Washington Heights,67
Queens Village,50
Gowanus,130
Williamsburg,100
Upper West Side,212
Williamsburg,190
Greenpoint,599
East Village,249
Rockaway Beach,70
Crown Heights,100
Harlem,60
Bedford-Stuyvesant,135
Greenpoint,175
Upper West Side,120
Midtown,169
Crown Heights,165
Harlem,90
Upper East Side,225
Fort Greene,95
Crown Heights,55
Hell's Kitchen,85
South Slope,199
Lower East Side,211
Midtown,145
Harlem,65
Harlem,99
Astoria,110
Crown Heights,80
Brooklyn Heights,150
Bedford-Stuyvesant,110
Chelsea,290
East Village,87
Williamsburg,190
Williamsburg,200
Park Slope,165
Harlem,110
East Village,395
Bedford-Stuyvesant,99
Kensington,39
East Village,189
Upper West Side,85
Gowanus,260
Harlem,122
Greenpoint,165
Forest Hills,97
West Village,170
Williamsburg,125
Murray Hill,130
Williamsburg,225
East Flatbush,50
Fort Greene,170
Chelsea,132
Park Slope,250
Greenpoint,141
Crown Heights,64
Williamsburg,249
Crown Heights,79
East Village,185
Boerum Hill,120
Park Slope,495
Nolita,375
Nolita,175
East Village,150
Harlem,259
East Village,96
Williamsburg,145
Chelsea,200
Upper West Side,95
Windsor Terrace,250
Harlem,295
Greenwich Village,175
Williamsburg,451
Upper West Side,165
Upper East Side,250
Woodlawn,77
Lower East Side,250
Astoria,129
Williamsburg,98
Park Slope,150
East Village,95
Harlem,55
Harlem,300
Sunnyside,42
Greenpoint,125
East Village,175
Harlem,75
Williamsburg,255
Bedford-Stuyvesant,72
Bedford-Stuyvesant,165
Williamsburg,165
Clinton Hill,75
Greenpoint,130
Williamsburg,139
Bedford-Stuyvesant,88
Bedford-Stuyvesant,80
Chelsea,150
Upper West Side,200
East Village,200
Sunnyside,42
Williamsburg,90
Harlem,295
Williamsburg,450
Crown Heights,130
Williamsburg,89
Harlem,198
East Village,99
Greenpoint,46
SoHo,140
Carroll Gardens,500
Morningside Heights,75
Sunnyside,33
Upper West Side,250
Bushwick,60
Washington Heights,75
Carroll Gardens,350
Chelsea,205
Park Slope,219
Park Slope,60
Upper West Side,185
East Village,190
South Slope,105
East Harlem,250
Upper West Side,175
Harlem,65
Bedford-Stuyvesant,75
University Heights,37
Williamsburg,85
Gravesend,106
East Harlem,79
Fort Greene,85
Harlem,170
Lower East Side,115
Harlem,89
Harlem,49
Greenpoint,91
Gramercy,400
Bushwick,150
Upper West Side,2000
Crown Heights,97
East Village,100
Williamsburg,179
Greenpoint,500
Chelsea,429
Kips Bay,189
Lower East Side,120
Nolita,300
Astoria,107
Astoria,95
Harlem,199
East Harlem,120
West Village,199
Allerton,125
Williamsburg,70
Williamsburg,75
West Village,100
Bedford-Stuyvesant,99
Chelsea,250
Williamsburg,350
Prospect Heights,170
East Village,165
Hell's Kitchen,99
Chelsea,255
East New York,169
Crown Heights,99
Upper East Side,169
Bedford-Stuyvesant,160
Prospect Heights,215
Park Slope,130
East Village,110
Hell's Kitchen,150
Williamsburg,65
Sunnyside,75
Chelsea,149
Upper West Side,89
Washington Heights,50
Prospect-Lefferts Gardens,43
Prospect-Lefferts Gardens,42
Williamsburg,85
Bedford-Stuyvesant,139
Park Slope,105
Park Slope,265
Hell's Kitchen,149
Harlem,68
Bedford-Stuyvesant,99
Harlem,75
Williamsburg,100
Upper East Side,90
East Village,160
Park Slope,190
Bedford-Stuyvesant,67
Upper East Side,190
Clinton Hill,248
Williamsburg,100
Chinatown,95
Theater District,150
Bedford-Stuyvesant,145
Bushwick,41
Williamsburg,120
Concourse Village,50
Fort Greene,157
Williamsburg,195
Sheepshead Bay,70
Williamsburg,185
Bedford-Stuyvesant,145
Sunnyside,50
Greenpoint,185
East Village,250
West Village,80
Theater District,230
Gowanus,100
Bushwick,40
Lower East Side,200
Emerson Hill,80
Bedford-Stuyvesant,79
Long Island City,95
Upper West Side,300
Fort Hamilton,100
Harlem,80
Bensonhurst,110
Clinton Hill,172
Lower East Side,199
Lower East Side,199
Harlem,100
Harlem,55
Bedford-Stuyvesant,75
East Village,146
NoHo,250
Greenpoint,116
Tribeca,150
Park Slope,120
Chelsea,199
Prospect Heights,150
Harlem,69
Harlem,300
Boerum Hill,230
Midtown,125
Bedford-Stuyvesant,79
Fort Greene,130
Clinton Hill,239
Shore Acres,75
Williamsburg,220
Bedford-Stuyvesant,80
East Village,288
Bedford-Stuyvesant,135
West Village,225
Chinatown,110
Bedford-Stuyvesant,100
Hell's Kitchen,130
East Village,89
Sunset Park,200
Bedford-Stuyvesant,80
Concourse,50
East Harlem,135
East Village,90
SoHo,270
Bedford-Stuyvesant,110
East Harlem,145
Hell's Kitchen,179
Ridgewood,55
Midtown,110
Harlem,325
Long Island City,75
South Slope,300
West Village,130
Midtown,190
Lower East Side,200
Williamsburg,180
DUMBO,350
East Village,160
Kips Bay,195
Greenwich Village,241
Chinatown,300
Ditmars Steinway,75
Lower East Side,100
Gramercy,399
Fort Greene,85
Prospect-Lefferts Gardens,80
Prospect Heights,55
Clinton Hill,438
Bedford-Stuyvesant,110
West Village,200
Clinton Hill,279
Williamsburg,137
Bedford-Stuyvesant,280
Williamsburg,199
Inwood,71
Kingsbridge,42
Bedford-Stuyvesant,180
Chelsea,226
Crown Heights,85
Gramercy,135
Elmhurst,79
Lower East Side,154
Greenpoint,199
West Village,700
West Village,246
Washington Heights,125
Bedford-Stuyvesant,100
Williamsburg,295
Crown Heights,150
Chinatown,119
Harlem,125
Harlem,400
Greenwich Village,850
Williamsburg,129
Upper West Side,140
Chinatown,115
East Harlem,200
Sunset Park,96
Greenpoint,199
Greenpoint,199
Greenpoint,199
Brighton Beach,69
Upper West Side,185
Harlem,81
Greenpoint,199
Greenpoint,199
Greenpoint,199
Greenpoint,199
Greenpoint,199
Greenpoint,349
Greenpoint,249
Greenpoint,299
Greenpoint,179
Jackson Heights,54
Greenpoint,599
Clinton Hill,110
Bushwick,220
Williamsburg,89
Bedford-Stuyvesant,170
Nolita,495
Sunnyside,80
Chelsea,760
Cobble Hill,98
Bedford-Stuyvesant,125
Cypress Hills,48
Williamsburg,64
Clinton Hill,154
Park Slope,139
St. Albans,75
West Village,325
Chelsea,195
Harlem,58
Arrochar,250
Arrochar,50
Arrochar,125
Fort Greene,70
Upper East Side,189
Bedford-Stuyvesant,130
West Village,145
Financial District,101
Chelsea,95
West Village,375
Lower East Side,153
East Flatbush,92
Lower East Side,80
West Village,300
Fort Greene,145
East Village,88
Harlem,155
Williamsburg,185
Sunnyside,73
Upper West Side,225
Morningside Heights,85
Crown Heights,99
Cypress Hills,48
Theater District,200
Upper East Side,485
Nolita,310
Williamsburg,110
Upper West Side,109
Upper West Side,167
Fort Greene,147
Chelsea,220
Lower East Side,195
Little Italy,199
Financial District,65
Rego Park,55
Wakefield,50
Kensington,60
East Harlem,99
Harlem,130
Williamsburg,290
Chelsea,350
Crown Heights,50
Long Island City,96
Bushwick,45
Woodside,85
Bedford-Stuyvesant,34
East Village,250
Williamsburg,190
Williamsburg,75
Prospect-Lefferts Gardens,93
Bedford-Stuyvesant,60
Bedford-Stuyvesant,65
Midtown,125
Upper East Side,300
Greenwich Village,150
Washington Heights,56
East Village,299
Greenpoint,60
Fort Greene,88
Williamsburg,60
West Village,1300
East Harlem,200
Harlem,99
Bushwick,110
Clinton Hill,135
Upper East Side,110
Bedford-Stuyvesant,165
Sunset Park,127
Prospect Heights,402
Harlem,85
Greenpoint,75
East Village,139
Prospect-Lefferts Gardens,70
East Harlem,50
Astoria,30
West Village,250
Crown Heights,64
Harlem,300
Bedford-Stuyvesant,800
Bedford-Stuyvesant,100
Crown Heights,250
West Village,200
Greenpoint,140
Harlem,130
Kensington,90
Chinatown,90
Bedford-Stuyvesant,97
Gowanus,91
Park Slope,125
Cypress Hills,75
East Village,180
Williamsburg,300
Williamsburg,100
Hell's Kitchen,175
South Slope,65
West Village,240
East Village,300
Chelsea,385
Bushwick,47
Crown Heights,110
Harlem,75
Bedford-Stuyvesant,100
Hell's Kitchen,165
Bedford-Stuyvesant,300
Cobble Hill,140
Williamsburg,120
Fort Greene,175
Carroll Gardens,275
East Village,179
Carroll Gardens,189
East Village,219
West Village,450
SoHo,249
Long Island City,65
Greenpoint,250
Chinatown,139
Upper West Side,209
Crown Heights,120
Astoria,70
West Village,90
Hell's Kitchen,199
Bushwick,50
Crown Heights,100
Harlem,110
Williamsburg,157
Greenpoint,199
Astoria,192
Greenpoint,199
Upper West Side,150
Greenpoint,199
Greenpoint,199
Greenpoint,199
Williamsburg,105
Williamsburg,135
Greenpoint,199
Williamsburg,125
Williamsburg,60
Williamsburg,85
Upper West Side,300
Williamsburg,75
Elmhurst,55
Crown Heights,44
Bedford-Stuyvesant,55
Williamsburg,30
Fort Greene,35
Williamsburg,70
Williamsburg,130
Bedford-Stuyvesant,52
Williamsburg,75
Upper East Side,190
SoHo,250
East New York,100
Greenpoint,130
Harlem,140
Flatbush,75
East Harlem,150
East Harlem,90
Upper West Side,295
Upper West Side,150
Williamsburg,180
Fort Greene,135
Bushwick,65
Upper West Side,99
Greenpoint,149
Clifton,59
Harlem,75
Harlem,75
Bedford-Stuyvesant,75
Upper West Side,109
Crown Heights,225
East Harlem,86
Ridgewood,52
Prospect Heights,100
Lower East Side,99
East Village,89
Bedford-Stuyvesant,135
West Village,199
Kensington,89
Harlem,110
Bushwick,120
Williamsburg,59
Bay Ridge,49
Greenpoint,79
Harlem,135
South Slope,185
Williamsburg,225
Gramercy,245
Washington Heights,115
Williamsburg,325
Williamsburg,95
West Village,120
Upper West Side,499
Williamsburg,75
Upper East Side,109
Williamsburg,160
Upper East Side,219
Upper East Side,159
Clinton Hill,180
East Village,150
Kips Bay,106
Midtown,299
Upper West Side,179
Crown Heights,165
Flatbush,500
Chinatown,250
Inwood,87
Williamsburg,79
Hell's Kitchen,75
Williamsburg,200
Harlem,80
East Flatbush,115
East Flatbush,115
East Flatbush,120
Harlem,125
Upper West Side,387
Hell's Kitchen,95
Upper West Side,99
Upper East Side,121
Hell's Kitchen,350
Harlem,75
Hell's Kitchen,95
Harlem,89
West Village,195
Flatiron District,160
Sunset Park,70
Greenwich Village,100
Lower East Side,140
East Village,189
Williamsburg,160
Park Slope,178
Crown Heights,145
Park Slope,125
Chelsea,265
Prospect-Lefferts Gardens,77
Upper East Side,60
Chinatown,129
East Village,199
Prospect-Lefferts Gardens,92
Crown Heights,185
Midtown,110
Williamsburg,65
Midtown,135
Upper East Side,115
Harlem,175
Upper West Side,3000
Williamsburg,72
Park Slope,80
Crown Heights,125
Greenpoint,120
Williamsburg,94
Prospect Heights,56
East Village,549
Greenpoint,190
Williamsburg,129
Bedford-Stuyvesant,85
Graniteville,20
Upper West Side,145
Hell's Kitchen,200
Park Slope,125
Sheepshead Bay,50
Harlem,160
Harlem,180
Inwood,100
Williamsburg,70
Spuyten Duyvil,120
Stapleton,110
Upper East Side,105
Midtown,250
Kips Bay,74
Harlem,165
Washington Heights,99
Gramercy,125
Briarwood,75
Ozone Park,45
Columbia St,159
Williamsburg,45
Hell's Kitchen,104
Financial District,225
Nolita,100
Greenpoint,90
Briarwood,75
Flatiron District,350
Harlem,135
Upper West Side,125
East Village,225
Harlem,85
Upper East Side,200
South Slope,250
Lower East Side,90
Bushwick,130
Prospect-Lefferts Gardens,90
Carroll Gardens,298
Upper East Side,300
Harlem,125
East Harlem,125
Midtown,145
East Village,147
